sem,class,final,grade,letter,part
Spring26,biol 3300,NA,81.13583283,B,80
Spring26,biol 3300,NA,77.53883343,C,30
Spring26,biol 3300,NA,77.57081159,C,15
Spring26,biol 3300,NA,64.49397716,D,80
Spring26,biol 3300,NA,80.28570141,B,95
Spring26,biol 3300,NA,79.04816291,B,100
Spring26,biol 3300,NA,85.48344679,B,60
Spring26,biol 3300,NA,16.9107906,F,35
Spring26,biol 3300,NA,92.50265618,A,100
Spring26,biol 3300,NA,70.53316887,C,85
Spring26,biol 3300,NA,82.30463161,B,70
Spring26,biol 3300,NA,89.79633345,A,100
Spring26,biol 3300,NA,87.14783654,B,100
Spring26,biol 3300,NA,92.914445,A,90
Spring26,biol 3300,NA,86.38097597,B,90
Spring26,biol 3300,NA,75.68365341,C,80
Spring26,biol 3300,NA,78.19440121,C,60
Spring26,biol 3300,NA,79.17144072,B,100
Spring26,biol 3300,NA,71.76929158,C,70
Spring26,biol 3300,NA,72.90080759,C,95
Spring26,biol 3300,NA,89.25575902,A,70
Spring26,biol 3300,NA,95.0554396,A,70
Spring26,biol 3300,NA,77.52739257,C,70
Spring26,biol 3300,NA,93.3340609,A,75
Spring26,biol 3300,NA,73.63492038,C,75
Spring26,biol 3300,NA,64.33363973,D,80
Spring26,biol 3300,NA,59.01113804,D,65
Spring26,biol 3300,NA,66.09907056,D,40
Spring26,biol 3300,NA,60.96005571,D,20
Spring26,biol 3300,NA,84.16994357,B,65
Spring26,biol 3300,NA,79.72855539,B,75
Spring26,biol 3300,NA,83.32777852,B,90
Spring26,biol 3300,NA,77.58576698,C,90
Spring26,biol 3300,NA,80.78186863,B,85
Spring26,biol 3300,NA,61.04898078,D,90
Spring26,biol 3300,NA,80.54710061,B,75
Spring26,biol 3300,NA,64.92219935,D,50
Spring26,biol 3300,NA,93.52540591,A,75
Spring26,biol 3300,NA,93.89573845,A,100
Spring26,biol 3300,NA,97.69407895,A,75
Spring26,biol 3300,NA,88.59671627,A,75
Spring26,biol 3300,NA,64.58947927,D,30
Spring26,biol 3300,NA,65.59459461,D,40
Spring26,biol 3300,NA,83.77765728,B,80
Spring26,biol 3300,NA,56.43083485,F,45
